overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,league_level,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,years_at_club,contract_years_remaining,is_loaned,nationality_freq,league_freq,preferred_foot_Right,position_group_DEF,position_group_MID
90,94,174500000,320000,22,186,75,1.0,4,4,5,80.0,86.0,83.0,90.0,78.0,85.0,66,88,75,90,77,91,73,68,89,91,81,80,83,91,83,86,85,94,80,87,85,82,91,90,74,90,77,79,77,2.221917808219178,4.0,0,1329,488,True,False,True
89,90,120500000,340000,26,182,74,1.0,4,3,4,88.0,84.0,84.0,84.0,83.0,85.0,78,80,63,88,78,84,76,69,88,88,84,92,77,89,68,91,82,93,82,91,81,86,86,86,59,84,82,87,86,9.167123287671233,4.0,0,227,488,True,False,True
89,89,86000000,140000,30,177,75,1.0,4,3,4,72.0,74.0,89.0,84.0,83.0,79.0,92,68,72,89,69,82,85,79,92,86,75,70,83,89,84,78,77,92,69,83,89,85,78,86,71,86,82,86,85,10.227397260273973,4.0,0,996,762,True,False,True
89,90,111000000,170000,26,181,73,1.0,4,4,4,92.0,79.0,82.0,83.0,82.0,79.0,85,80,71,86,74,82,78,80,73,85,89,95,81,90,78,82,84,95,72,77,77,85,84,78,68,84,82,85,79,4.208219178082191,4.0,0,131,431,True,True,False
87,87,79500000,69000,28,175,68,1.0,4,3,4,80.0,78.0,84.0,86.0,81.0,76.0,79,77,60,89,80,84,79,67,87,87,82,78,91,91,88,80,75,89,66,79,87,85,84,85,73,88,80,85,80,5.052054794520548,4.0,0,558,607,True,False,True
86,86,47500000,61000,31,178,69,1.0,5,4,4,71.0,81.0,87.0,82.0,81.0,73.0,78,75,65,90,78,78,88,85,89,87,74,68,83,87,77,87,73,81,65,87,83,82,73,89,92,85,81,85,80,1.2191780821917808,2.0,0,227,607,True,False,True
85,85,52000000,54000,27,175,76,1.0,4,3,3,80.0,78.0,84.0,82.0,79.0,77.0,87,74,69,84,82,79,88,83,83,86,83,78,84,83,81,81,81,84,72,84,81,80,83,80,71,78,81,81,79,7.213698630136986,2.0,0,558,607,False,True,False
87,88,93000000,180000,26,176,72,1.0,3,3,4,66.0,82.0,85.0,85.0,78.0,76.0,79,79,65,88,77,84,83,82,87,86,68,64,82,89,86,88,72,87,69,85,83,80,78,86,86,86,78,83,74,2.2684931506849315,3.0,0,954,537,True,False,True
90,90,102000000,270000,29,190,82,1.0,4,3,5,65.0,80.0,86.0,84.0,86.0,85.0,76,74,81,93,71,84,86,64,91,90,65,65,66,93,67,92,83,91,83,89,85,84,76,84,62,93,88,87,82,6.2164383561643834,2.0,0,930,537,True,False,True
85,85,26000000,115000,34,176,67,1.0,3,4,4,77.0,86.0,85.0,88.0,59.0,73.0,82,86,79,86,86,86,89,85,83,90,80,75,88,87,85,85,84,77,70,86,74,59,87,86,79,88,45,63,64,2.9452054794520546,2.0,0,833,488,False,False,False
84,85,44500000,65000,27,184,81,1.0,3,4,3,90.0,76.0,78.0,83.0,79.0,83.0,84,71,76,81,80,83,80,74,70,84,88,92,83,83,71,86,90,87,80,74,83,78,80,75,74,80,76,84,76,0.19452054794520549,3.0,0,833,888,False,True,False
